ID,SMILES,pIC50,Group,Chemical family,Journal,Year,PubMed ID,DOI
CHEMBL566924,N#Cc1nc(Nc2cccc(Br)c2)nc(NC2CCCC2)n1,8.7,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567783,N#Cc1nc(Nc2cccc([N+](=O)[O-])c2)nc(NC2CCCC2)n1,9,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL566273,N#Cc1nc(Nc2cccc(-c3ccccc3)c2)nc(NC2CCCC2)n1,7.3,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567147,N#Cc1nc(Nc2ccc(F)cc2)nc(NC2CCCC2)n1,7.52,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL566903,N#Cc1nc(Nc2ccc(Br)cc2)nc(NC2CCCC2)n1,7.22,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL568171,N#Cc1nc(Nc2cc(F)cc(F)c2)nc(NC2CCCC2)n1,8.4,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL578159,N#Cc1nc(Nc2cc(F)cc(F)c2)c2ncn(CC(F)F)c2n1,7.89,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567142,N#Cc1nc(Nc2cc(F)cc(F)c2)c2ncn(C3CCCC3)c2n1,7.74,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL568172,N#Cc1nc(Nc2cc(Cl)cc(Cl)c2)nc(NC2CCCC2)n1,8,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL577764,N#Cc1nc(N)nc(N(c2ccccc2)c2ccccc2)n1,7.15,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL3233084,N#Cc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1,4.19,Test,Amide,Journal of medicinal chemistry.,2014,24533839,10.1021/jm401709b
CHEMBL409024,N[C@@H](Cc1cc(-c2ccc(Cl)cc2Cl)cc(C[PH](=O)(=O)[O-])c1O)C(=O)O,3.8,Train,Other,Journal of medicinal chemistry.,2008,18333608,10.1021/jm701500e
CHEMBL455669,FC(F)(F)c1ccnc(/N=N/Cc2ccc(Cl)cc2)n1,4.07,Test,Hydrazone,Bioorganic & medicinal chemistry.,2008,18996017,10.1016/j.bmc.2008.10.052
CHEMBL90354,FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,5.77,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL40165,CSc1ccc(/C=N/NC(=O)c2cccc(C)c2O)s1,5,Train,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL2402106,CS(=O)(=O)c1sc(C(=O)NC(=S)Nc2ccc(OC(F)(F)F)cc2)c2ccccc12,5.16,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2013,23611656,10.1021/jm301424d
CHEMBL1288529,CS(=O)(=O)c1ccc(-c2ccc([C@@H](NC(Cc3ccccc3)C(=O)N[C@@H](C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1,8.15,Train,Amide,Bioorganic & medicinal chemistry letters.,2010,21041084,10.1016/j.bmcl.2010.10.015
CHEMBL1289988,CS(=O)(=O)c1ccc(-c2ccc([C@@H](NC(CC3CC3)C(=O)N[C@@H](C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1,7.8,Train,Amide,Bioorganic & medicinal chemistry letters.,2010,21041084,10.1016/j.bmcl.2010.10.015
CHEMBL1290084,CS(=O)(=O)c1ccc(-c2ccc([C@@H](NC(CC(Cl)Cl)C(=O)N[C@@H](C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1,10,Train,Amide,Bioorganic & medicinal chemistry letters.,2010,21041084,10.1016/j.bmcl.2010.10.015
CHEMBL1290303,CS(=O)(=O)c1ccc(-c2ccc([C@@H](NC(C(=O)N[C@@H](C#N)Cc3ccccc3)C3CC3)C(F)(F)F)cc2)cc1,8.15,Test,Amide,Bioorganic & medicinal chemistry letters.,2010,21041084,10.1016/j.bmcl.2010.10.015
CHEMBL1173673,COCCn1c(C)cc(C(=O)COC(=O)CNC(=O)c2ccccc2)c1C,4.74,Train,Amide,Journal of medicinal chemistry.,2010,20540517,10.1021/jm100488w
CHEMBL3628945,COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccn3nccc3n2)C2CCCC2)nn1,5.55,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628940,COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncsc3c2)C2CCCC2)nn1,6.91,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628937,COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncsc3c2)C(C)C)nn1,7.2,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628592,COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncccc3c2)C(C)C)nn1,6.47,Test,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL93774,COc1ccccc1-c1ccc(/C=N/NC(N)=S)o1,6.55,Test,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL408636,COc1cccc2cc(C(=O)n3ccc(C)n3)c(=O)oc12,3.97,Test,Other,Journal of medicinal chemistry.,2008,18333608,10.1021/jm701500e
CHEMBL324722,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc32)c1,5.7,Train,Isatin,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL90867,COc1ccc2ccccc2c1/C=N/NC(N)=S,6.25,Test,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL2042801,COc1ccc2cc(O)c(C(=O)NN=Cc3c(O)ccc4ccccc34)cc2c1,6.22,Test,Nacylhydrazone,European journal of medicinal chemistry.,2012,22727447,10.1016/j.ejmech.2012.05.041
CHEMBL39253,COc1ccc2cc(O)c(C(=O)N/N=C/c3ccc(-c4cc(C(F)(F)F)nn4C)s3)cc2c1,6.7,Test,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL3233119,COc1ccc2[nH]c(CCNC(=O)COc3ccc4ccccc4c3Br)nc2c1,6.27,Train,Amide,Journal of medicinal chemistry.,2014,24533839,10.1021/jm401709b
CHEMBL564453,COc1ccc(OC)c(CNC(=O)c2nnc(-c3ccccc3N)o2)c1,4.36,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL561904,COc1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)c(OC)c1,4.57,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL1172021,COc1ccc(Cl)cc1NC(=O)COC(=O)[C@H](CC(C)C)N1C(=O)C2CC=CCC2C1=O,6,Train,Amide,Journal of medicinal chemistry.,2010,20540517,10.1021/jm100488w
CHEMBL285167,COc1ccc(C(=O)N/N=C/c2ccoc2)c(OC)c1,3.78,Train,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL3329519,COc1ccc(-c2csc(/N=N/[C@@H](C)c3ccccn3)n2)cc1,7.4,Train,Thiazolylhydrazone,European journal of medicinal chemistry.,2014,25147146,10.1016/j.ejmech.2014.08.012
CHEMBL40119,COc1cc(OC)cc(C(=O)N/N=C/c2ccc(C(=O)[O-])o2)c1,5,Train,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL2158132,COc1cc(C=NNC(=O)c2nc(-c3ccc(Cl)cc3)no2)ccc1O,7.4,Test,Nacylhydrazone,Bioorganic & medicinal chemistry.,2012,23006639,10.1016/j.bmc.2012.08.047
CHEMBL2158133,COc1cc(C=NNC(=O)c2nc(-c3ccc(Br)cc3)no2)ccc1O,6.7,Train,Nacylhydrazone,Bioorganic & medicinal chemistry.,2012,23006639,10.1016/j.bmc.2012.08.047
CHEMBL2042791,COc1cc(C=NNC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc([N+](=O)[O-])c1[O-],4.34,Test,Nacylhydrazone,European journal of medicinal chemistry.,2012,22727447,10.1016/j.ejmech.2012.05.041
CHEMBL2042793,COc1cc(C=NNC(=O)/C=C/c2cc(OC)c(OC)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1[O-],4.35,Train,Nacylhydrazone,European journal of medicinal chemistry.,2012,22727447,10.1016/j.ejmech.2012.05.041
CHEMBL2042792,COc1cc(/C=C/C(=O)NN=Cc2ccccc2O)cc([N+](=O)[O-])c1OC,4.08,Train,Nacylhydrazone,European journal of medicinal chemistry.,2012,22727447,10.1016/j.ejmech.2012.05.041
CHEMBL567354,CNc1nc(C#N)nc(Nc2ccccc2)n1,5.9,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL2402102,Cn1nc(C(F)(F)F)cc1-c1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)s1,5.51,Train,Amide,Journal of medicinal chemistry.,2013,23611656,10.1021/jm301424d
CHEMBL91830,Cn1nc(-c2ccc(/C=N/NC(N)=S)s2)cc1C(F)(F)F,5.15,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL91704,CN1CCN(C(=O)NC(Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,8.4,Train,Vinylsulfone,Bioorganic & medicinal chemistry letters.,2009,19773167,10.1016/j.bmcl.2009.08.098
CHEMBL90808,Cn1c(/C=N/NC(N)=S)cc2ccccc21,5.55,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL289374,CN(C)c1ccc(/C=N/NC(=O)c2ccnc3ccccc23)c2ccccc12,5.22,Train,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL39814,CN(C)c1ccc(/C=N/NC(=O)c2ccccc2)c2ccccc12,6.3,Train,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL39723,CN(C)c1ccc(/C=N/NC(=O)c2ccc(O)c(O)c2)c2ccccc12,4.79,Train,Nacylhydrazone,Bioorganic & medicinal chemistry letters.,2002,12031337,10.1016/s0960-894x(02)00189-0
CHEMBL148139,Clc1ccc2c(NCCN3CCOCC3)cc[nH+]c2c1,4.39,Train,Quinoline,Bioorganic & medicinal chemistry.,2017,28215783,10.1016/j.bmc.2017.02.009
CHEMBL1241726,Clc1ccc2c(NCCC[NH+]3CCOCC3)ccnc2c1,4.82,Train,Quinoline,Bioorganic & medicinal chemistry.,2017,28215783,10.1016/j.bmc.2017.02.009
CHEMBL528696,Clc1ccc2c(NCc3ccccc3)cc[nH+]c2c1,4.36,Train,Quinoline,Bioorganic & medicinal chemistry.,2017,28215783,10.1016/j.bmc.2017.02.009
CHEMBL597857,Clc1ccc2[nH]c3c(NCCC[NH+]4CCOCC4)ncnc3c2c1,5.6,Train,Indolpirimidine,Bioorganic & medicinal chemistry.,2017,28215783,10.1016/j.bmc.2017.02.009
CHEMBL571295,CCOc1nc(C#N)nc(N2CCCCC2)n1,7.05,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL4250264,CCOC(=O)CCC(=O)C(CCc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)N1CCOCC1,5.43,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4247707,CCOC(=O)CCC(=O)/C(CCc1ccccc1)=N\C(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,6.48,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4245127,CCOC(=O)CCC(=O)/C(CCc1ccccc1)=N\C(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,7.1,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4249696,CCOC(=O)CCC(=O)/C(CCc1ccccc1)=N\C(=O)[C@H](CC(C)C)NC(=O)N1CCOCC1,6.47,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4244656,CCOC(=O)CCC(=O)/C(CC(C)C)=N\C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,7.7,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4237990,CCOC(=O)CCC(=O)/C(CC(C)C)=N\C(=O)[C@H](CC(C)C)NC(=O)N1CCOCC1,6.7,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4240920,CCOC(=O)CCC(=O)/C(C)=N\C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,6.52,Test,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL4248915,CCOC(=O)CCC(=O)/C(C)=N\C(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,6.2,Train,Amide,Bioorganic & medicinal chemistry.,2018,30037754,10.1016/j.bmc.2018.07.015
CHEMBL2402107,CCOC(=O)c1ccc(NC(=S)NC(=O)c2ccc(Cl)c(Cl)c2)cc1,5.72,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2013,23611656,10.1021/jm301424d
CHEMBL3827864,CCOC(=O)c1c(/N=C2\S[C@@H](CC(=O)[O-])C(=O)N2c2ccccc2)sc2c1CCCC2,3.92,Train,Thiazolylhydrazone,Bioorganic & medicinal chemistry.,2016,27475533,10.1016/j.bmc.2016.07.013
CHEMBL566904,CCNc1nc(C#N)nc2c1ncn2-c1cccc(Cl)c1,7.2,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567134,CCNc1nc(C#N)nc2c1ncn2-c1cc(F)cc(F)c1,6.6,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567161,CCNc1nc(C#N)nc(Nc2ccccc2)n1,6.15,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL577121,CCn1cnc2c(Nc3cccc(Cl)c3)nc(C#N)nc21,9.4,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL567341,CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(C#N)nc21,9.7,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL562224,CCN(CC)c1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)cc1,4.44,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL109619,CCN(CC)C(=S)NN=C(C)c1cccc(Br)c1,5.3,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2004,15163200,10.1021/jm030549j
CHEMBL576847,CCCNc1nc(C#N)nc(Nc2ccccc2)n1,6.1,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL566067,CCCCNc1nc(C#N)nc(Nc2ccccc2)n1,6.05,Train,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL91347,CCCCCCNC(=S)N1CCC(c2cccc(Br)c2)=N1,5.85,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL3628943,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccn3nccc3n2)C2CCCC2)nn1,8.52,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628942,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccn3nccc3n2)C(C)C)nn1,7.12,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628933,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NC(=O)c2ccncc2)C(C)C)nn1,4.64,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628935,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NC(=O)c2ccc3ncsc3c2)C(C)C)nn1,5.44,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628590,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NC(=O)c2ccc3ncccc3c2)C(C)C)nn1,5.87,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628932,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccncc2)C(C)C)nn1,5.96,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628938,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncsc3c2)C2CCCC2)nn1,8.3,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL3628934,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncsc3c2)C(C)C)nn1,7.43,Test,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL592646,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncccc3c2)C2CCCC2)nn1,7.57,Train,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL600002,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)([NH2+]Cc2ccc3ncccc3c2)C(C)C)nn1,6.43,Test,Tetrafluorophenoximethylketone,Bioorganic & medicinal chemistry letters.,2015,26144347,10.1016/j.bmcl.2015.06.066
CHEMBL181504,CCCCC(=NNC(N)=S)c1ccc(Cl)c(Cl)c1,7.72,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL2180669,CCc1s/c(=N\N=C(/C)COc2ccccc2)n(C)c1O,4.5,Train,Thiazolylhydrazone,Journal of medicinal chemistry.,2012,23167554,10.1021/jm301518v
CHEMBL92376,CCC(=NNC(N)=S)c1cccc(C(F)(F)F)c1,7.3,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL313679,CCC(=NNC(N)=S)c1cccc(Br)c1,7.4,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry.,2010,20961766,10.1016/j.bmc.2010.09.056
CHEMBL92099,CCC(=NNC(N)=S)c1ccc(Cl)c(Cl)c1,7.6,Test,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL560962,Cc1nn(-c2ccccc2)nc1CNC(=O)c1nnc(-c2ccccc2N)o1,5.15,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL4165151,Cc1nc(/N=N/[C@@H](C)c2ccc(Cl)c(Cl)c2)sc1C,5.05,Test,Thiazolylhydrazone,European journal of medicinal chemistry.,2017,29031078,10.1016/j.ejmech.2017.09.047
CHEMBL1078779,Cc1nc(-c2cnccn2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,6,Train,Vinylsulfone,Bioorganic & medicinal chemistry letters.,2009,19773167,10.1016/j.bmcl.2009.08.098
CHEMBL1078778,Cc1nc(-c2cccnc2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,5.7,Train,Vinylsulfone,Bioorganic & medicinal chemistry letters.,2009,19773167,10.1016/j.bmcl.2009.08.098
CHEMBL1078675,Cc1nc(-c2ccccc2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,5,Test,Vinylsulfone,Bioorganic & medicinal chemistry letters.,2009,19773167,10.1016/j.bmcl.2009.08.098
CHEMBL3786939,Cc1csc(/N=N/[C@@H](C)c2ccc(Cl)c(Cl)c2)n1,6.22,Test,Thiazolylhydrazone,European journal of medicinal chemistry.,2017,29031078,10.1016/j.ejmech.2017.09.047
CHEMBL1346687,Cc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1,5.39,Train,Amide,Journal of medicinal chemistry.,2014,24533839,10.1021/jm401709b
CHEMBL1172971,Cc1ccccc1OCC(=O)NCC(=O)OCC(=O)c1ccc2ccccc2c1,6.15,Test,Amide,Journal of medicinal chemistry.,2010,20540517,10.1021/jm100488w
CHEMBL576648,Cc1cccc(Nc2nc(C#N)nc(NC3CCCC3)n2)c1,7.52,Test,Triazinenitrile,Journal of medicinal chemistry.,2010,19908842,10.1021/jm901069a
CHEMBL117767,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,5.55,Train,Isatin,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL3233120,Cc1ccc2[nH]c(CCNC(=O)COc3ccc4ccccc4c3Br)nc2c1,6.21,Train,Amide,Journal of medicinal chemistry.,2014,24533839,10.1021/jm401709b
CHEMBL3329473,Cc1ccc(SCCC/N=N/C2=NC(=O)[C@H](C)S2)cc1,4.69,Train,Thiazolylhydrazone,European journal of medicinal chemistry.,2014,25072876,10.1016/j.ejmech.2014.07.092
CHEMBL1276301,Cc1ccc(SCC/N=N/C2=NC(=O)[C@H](C)S2)cc1,4.69,Train,Thiazolylhydrazone,Journal of medicinal chemistry.,2012,23167554,10.1021/jm301518v
CHEMBL561361,Cc1ccc(CNC(=O)c2nnc(-c3ccccc3N)o2)o1,4.85,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL118638,Cc1ccc(C)c(CN2C(=O)C(=O)c3cc(C)ccc32)c1,4.1,Test,Isatin,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL182795,Cc1ccc(C(=NNC(N)=S)c2ccc(Cl)c(Cl)c2)cc1,7.4,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2005,15582423,10.1016/j.bmcl.2004.10.023
CHEMBL3329515,Cc1ccc(-c2csc(/N=N/[C@@H](C)c3ccccn3)n2)cc1,6.4,Train,Thiazolylhydrazone,European journal of medicinal chemistry.,2014,25147146,10.1016/j.ejmech.2014.08.012
CHEMBL1172020,Cc1cc(NC(=O)COC(=O)[C@H](Cc2ccccc2)NC(=O)c2ccco2)no1,4.42,Train,Amide,Journal of medicinal chemistry.,2010,20540517,10.1021/jm100488w
CHEMBL1173691,Cc1cc(NC(=O)COC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(F)cc2)no1,5.52,Train,Amide,Journal of medicinal chemistry.,2010,20540517,10.1021/jm100488w
CHEMBL118355,Cc1cc(Cl)cc2c1NC(=O)[C@H]2N=NC(N)=S,4.98,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL118210,Cc1cc(C)c2c(c1)[C@H](N=NC(N)=S)C(=O)N2,4.8,Test,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2003,14505663,10.1016/s0960-894x(03)00756-x
CHEMBL462539,Cc1cc(C(F)(F)F)nc(/N=N/Cc2ccc(Cl)cc2)n1,4,Train,Hydrazone,Bioorganic & medicinal chemistry.,2008,18996017,10.1016/j.bmc.2008.10.052
CHEMBL1171857,Cc1cc(C(=O)NCC(=O)O[C@@H](C(=O)Nc2cc(C(F)(F)F)ccc2Cl)c2ccccc2)ccc1[N+](=O)[O-],6.4,Train,Amide,Journal of medicinal chemistry.,2010,20540517,10.1021/jm100488w
CHEMBL550634,CC1C2CCC(C)(C2)C1NC(=O)c1nnc(-c2ccccc2N)o1,4.44,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL3291135,Cc1c(C=NNC(=O)c2ccc([N+](=O)[O-])cc2)no[n+]1[O-],4.95,Train,Nacylhydrazone,European journal of medicinal chemistry.,2014,24929292,10.1016/j.ejmech.2014.05.077
CHEMBL3352910,CC1(C)CCc2cc(CCC(=O)c3c(O)cc4c(c3O)CCC(C)(C)O4)ccc2O1,4.67,Train,Dihydrochalcone,Journal of natural products.,2014,25375026,10.1021/np500453x
CHEMBL3352912,CC1(C)CCc2c(cc(O)c(C(=O)CCc3ccc4c(c3)CC3C(C)(C)CCCC3(C)O4)c2O)O1,5.06,Test,Dihydrochalcone,Journal of natural products.,2014,25375026,10.1021/np500453x
CHEMBL90866,CC/C(=N\NC(N)=S)c1cccc(Cl)c1,6.66,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL373586,CC/C(=N\NC(N)=S)c1cccc([N+](=O)[O-])c1,6.07,Train,Thiosemicarbazone,Bioorganic & medicinal chemistry letters.,2006,16781147,10.1016/j.bmcl.2006.05.041
CHEMBL93166,CC/C(=N\NC(N)=S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.7,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL420616,CC/C(=N/NC(=S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,5.8,Train,Thiosemicarbazone,Journal of medicinal chemistry.,2002,12061873,10.1021/jm010459j
CHEMBL562106,CC[C@H](NC(=O)COC(=O)c1cccnc1N)c1ccc(Br)cc1,4.08,Train,Amide,Journal of medicinal chemistry.,2009,19637873,10.1021/jm9009229
CHEMBL2180345,CC[C@@H]1S/C(=N\N=C(/C)COc2ccccc2)NC1=S,4.73,Train,Thiazolylhydrazone,Journal of medicinal chemistry.,2012,23167554,10.1021/jm301518v
CHEMBL2180341,CC[C@@H]1S/C(=N\N=C(/C)COc2ccccc2)N(c2ccccc2)C1=O,5.02,Test,Thiazolylhydrazone,Journal of medicinal chemistry.,2012,23167554,10.1021/jm301518v
